id,herramienta,severidad,identificador_tecnico,hallazgo,control_iso27001,objetivo_cobit,tipo_deficiencia,evidencia,estado_revision
S04-0200,Trivy,High,CVE-2026-64017,CVE-2026-64017 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0201,Trivy,High,CVE-2026-68159,CVE-2026-68159 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0202,Trivy,High,CVE-2026-68166,CVE-2026-68166 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0203,Trivy,High,CVE-2026-68264,CVE-2026-68264 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0204,Trivy,High,CVE-2026-68480,CVE-2026-68480 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0205,Trivy,High,CVE-2026-69185,CVE-2026-69185 en socket.io-parser 4.0.5 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0206,Trivy,High,CVE-2026-73566,CVE-2026-73566 en tar 6.2.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0207,Trivy,High,CVE-2026-74446,CVE-2026-74446 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0208,Trivy,High,CVE-2026-74476,CVE-2026-74476 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0209,Trivy,High,CVE-2026-74480,CVE-2026-74480 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0210,Trivy,High,CVE-2026-74488,CVE-2026-74488 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0211,Trivy,High,CVE-2026-74502,CVE-2026-74502 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0212,Trivy,High,CVE-2026-74503,CVE-2026-74503 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0213,Trivy,High,CVE-2026-74509,CVE-2026-74509 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0214,Trivy,High,CVE-2026-74516,CVE-2026-74516 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0215,Trivy,High,CVE-2026-74518,CVE-2026-74518 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0216,Trivy,High,CVE-2026-74556,CVE-2026-74556 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0217,Trivy,High,CVE-2026-74569,CVE-2026-74569 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0218,Trivy,High,CVE-2026-74580,CVE-2026-74580 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0219,Trivy,High,CVE-2026-74581,CVE-2026-74581 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0220,Trivy,High,CVE-2026-74582,CVE-2026-74582 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0221,Trivy,High,CVE-2026-74583,CVE-2026-74583 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0222,Trivy,High,CVE-2026-74586,CVE-2026-74586 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0223,Trivy,High,CVE-2026-74588,CVE-2026-74588 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0224,Trivy,High,CVE-2026-74597,CVE-2026-74597 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0225,Trivy,High,CVE-2026-74615,CVE-2026-74615 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0226,Trivy,High,CVE-2026-74616,CVE-2026-74616 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0227,Trivy,High,CVE-2026-74630,CVE-2026-74630 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0228,Trivy,High,CVE-2026-74631,CVE-2026-74631 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0229,Trivy,High,CVE-2026-74662,CVE-2026-74662 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0230,Trivy,High,CVE-2026-74669,CVE-2026-74669 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0231,Trivy,High,CVE-2026-74743,CVE-2026-74743 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0232,Trivy,High,CVE-2026-74744,CVE-2026-74744 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0233,Trivy,High,CVE-2026-74746,CVE-2026-74746 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0234,Trivy,High,CVE-2026-77078,CVE-2026-77078 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0235,Trivy,High,CVE-2026-80522,CVE-2026-80522 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0236,Trivy,High,CVE-2026-80530,CVE-2026-80530 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0237,Trivy,High,CVE-2026-80586,CVE-2026-80586 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0238,Trivy,High,CVE-2026-80590,CVE-2026-80590 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0239,Trivy,High,CVE-2026-80714,CVE-2026-80714 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0240,Trivy,High,CVE-2026-80725,CVE-2026-80725 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0241,Trivy,High,CVE-2026-80726,CVE-2026-80726 en linux-libc-dev 6.12.101-1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0242,Trivy,High,CVE-2026-82333,CVE-2026-82333 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0243,Trivy,High,CVE-2026-84375,CVE-2026-84375 en js-yaml 3.15.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0244,Trivy,High,NSWG-ECO-17,NSWG-ECO-17 en jsonwebtoken 0.1.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0245,Trivy,High,NSWG-ECO-17,NSWG-ECO-17 en jsonwebtoken 0.4.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0246,Trivy,High,NSWG-ECO-428,NSWG-ECO-428 en base64url 0.0.6 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0247,Trivy Secret,High,private-key,Asymmetric Private Key en /etc/ssl/private/ssl-cert-snakeoil.key (valor omitido),A.8.24 Use of cryptography,DSS05.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0248,Trivy Secret,High,private-key,Asymmetric Private Key en /juice-shop/build/lib/insecurity.js (valor omitido),A.8.24 Use of cryptography,DSS05.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0249,Trivy Secret,High,private-key,Asymmetric Private Key en /juice-shop/infrastructure/terraform/networking.tf (valor omitido),A.8.24 Use of cryptography,DSS05.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0250,Trivy Secret,High,private-key,Asymmetric Private Key en /juice-shop/lib/insecurity.ts (valor omitido),A.8.24 Use of cryptography,DSS05.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0251,Trivy Secret,High,private-key,Asymmetric Private Key en /juice-shop/terraform/networking.tf (valor omitido),A.8.24 Use of cryptography,DSS05.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0252,Lynis,Media,ACCT-9622,ACCT-9622 · Enable process accounting · - · - ·,A.8.16 Monitoring activities,DSS01.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0253,Lynis,Media,ACCT-9626,ACCT-9626 · Enable sysstat to collect accounting (no results) · - · - ·,A.8.16 Monitoring activities,DSS01.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0254,Lynis,Media,ACCT-9628,ACCT-9628 · Enable auditd to collect audit information · - · - ·,A.8.15 Logging,DSS01.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0255,Lynis,Media,AUTH-9262,AUTH-9262 · Install a PAM module for password strength testing like pam_cracklib or pam_passwdqc or libpam-passwdqc · - · - ·,A.5.17 Authentication information,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0256,Lynis,Media,AUTH-9328,"AUTH-9328 · Default umask in /etc/login.defs could not be found and defaults usually to 022, which could be more strict like 027 · - · - ·",A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0257,Lynis,Media,BOOT-5180,BOOT-5180 · Determine runlevel and services at startup · - · - ·,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0258,Lynis,Media,FILE-6310,"FILE-6310 · To decrease the impact of a full /home file system, place /home on a separate partition · - · - ·",A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0259,Lynis,Media,FILE-6310,"FILE-6310 · To decrease the impact of a full /tmp file system, place /tmp on a separate partition · - · - ·",A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0260,Lynis,Media,FILE-6310,"FILE-6310 · To decrease the impact of a full /var file system, place /var on a separate partition · - · - ·",A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0261,Lynis,Media,FILE-7524,FILE-7524 · Consider restricting file permissions · See screen output or log file · text:Use chmod to change file permissions ·,A.8.15 Logging,DSS01.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0262,Lynis,Media,FINT-4350,FINT-4350 · Install a file integrity tool to monitor changes to critical and sensitive files · - · - ·,A.8.16 Monitoring activities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0263,Lynis,Media,FIRE-4590,FIRE-4590 · Configure a firewall/packet filter to filter incoming and outgoing traffic · - · - ·,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0264,Lynis,Media,HRDN-7230,"HRDN-7230 · Harden the system by installing at least one malware scanner, to perform periodic file system scans · - · Install a tool like rkhunter, chkrootkit, OSSEC, Wazuh ·",A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0265,Lynis,Media,KRNL-5820,"KRNL-5820 · If not required, consider explicit disabling of core dump in /etc/security/limits.conf file · - · - ·",A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0266,Lynis,Media,KRNL-6000,KRNL-6000 · One or more sysctl values differ from the scan profile and could be tweaked · · Change sysctl value or disable test (skip-test=KRNL-6000:<sysctl-key>) ·,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0267,Lynis,Media,LOGG-2146,LOGG-2146 · Check if log files are properly rotated · - · - ·,A.8.15 Logging,DSS01.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0268,Lynis,Media,LOGG-2154,LOGG-2154 · Enable logging to an external logging host for archiving purposes and additional protection · - · - ·,A.8.15 Logging,DSS01.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0269,Lynis,Media,NAME-4028,NAME-4028 · Check DNS configuration for the dns domain name · - · - ·,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0270,Lynis,Media,NETW-3200,NETW-3200 · Determine if protocol 'dccp' is really needed on this system · - · - ·,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0271,Lynis,Media,NETW-3200,NETW-3200 · Determine if protocol 'rds' is really needed on this system · - · - ·,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0272,Lynis,Media,NETW-3200,NETW-3200 · Determine if protocol 'sctp' is really needed on this system · - · - ·,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0273,Lynis,Media,NETW-3200,NETW-3200 · Determine if protocol 'tipc' is really needed on this system · - · - ·,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0274,Lynis,Media,PKGS-7370,PKGS-7370 · Install debsums utility for the verification of packages with known good database. · - · - ·,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0275,Lynis,Media,PKGS-7398,PKGS-7398 · Install a package audit tool to determine vulnerable packages · - · - ·,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0276,Lynis,Media,PKGS-7420,PKGS-7420 · Consider using a tool to automatically apply upgrades · - · - ·,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0277,Lynis,Media,STRG-1846,"STRG-1846 · Disable drivers like firewire storage when not used, to prevent unauthorized storage or data theft · - · - ·",A.7.10 Storage media,DSS05.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0278,Lynis,Media,TOOL-5002,TOOL-5002 · Determine if automation tools are present for system management · - · - ·,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0279,Lynis,Media,USB-1000,"USB-1000 · Disable drivers like USB storage when not used, to prevent unauthorized storage or data theft · - · - ·",A.7.10 Storage media,DSS05.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/lynis-report.dat,Revisado contra criterio PT04
S04-0280,OpenSCAP,Media,xccdf_org.ssgproject.content_rule_account_disable_post_pw_expiration,Regla XCCDF con resultado fail: xccdf_org.ssgproject.content_rule_account_disable_post_pw_expiration,A.5.18 Access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/oscap-resultados.xml,Revisado contra criterio PT04
S04-0281,OpenSCAP,Media,xccdf_org.ssgproject.content_rule_accounts_maximum_age_login_defs,Regla XCCDF con resultado fail: xccdf_org.ssgproject.content_rule_accounts_maximum_age_login_defs,A.5.17 Authentication information,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/oscap-resultados.xml,Revisado contra criterio PT04
S04-0282,OpenSCAP,Media,xccdf_org.ssgproject.content_rule_accounts_minimum_age_login_defs,Regla XCCDF con resultado fail: xccdf_org.ssgproject.content_rule_accounts_minimum_age_login_defs,A.5.17 Authentication information,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/oscap-resultados.xml,Revisado contra criterio PT04
S04-0283,OpenSCAP,Media,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny,Regla XCCDF con resultado fail: xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny,A.5.17 Authentication information,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/oscap-resultados.xml,Revisado contra criterio PT04
S04-0284,OpenSCAP,Media,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_interval,Regla XCCDF con resultado fail: xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_interval,A.5.17 Authentication information,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/oscap-resultados.xml,Revisado contra criterio PT04
S04-0285,OpenSCAP,Media,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_unlock_time,Regla XCCDF con resultado fail: xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_unlock_time,A.5.17 Authentication information,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/oscap-resultados.xml,Revisado contra criterio PT04
S04-0286,OpenSCAP,Media,xccdf_org.ssgproject.content_rule_accounts_umask_etc_bashrc,Regla XCCDF con resultado fail: xccdf_org.ssgproject.content_rule_accounts_umask_etc_bashrc,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/oscap-resultados.xml,Revisado contra criterio PT04
S04-0287,OpenSCAP,Media,xccdf_org.ssgproject.content_rule_accounts_umask_etc_login_defs,Regla XCCDF con resultado fail: xccdf_org.ssgproject.content_rule_accounts_umask_etc_login_defs,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/oscap-resultados.xml,Revisado contra criterio PT04
